"","date","ID","mood","arousal","valence","activity","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"186",2014-03-28,"28",NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",2014-03-28,"30",7.8,0,1,0.240779611206804,2,0,1452.165,8180.286,2125.773,13.088,0,68.523,397.424,2055.419,26.599,285.998,67.451,0
"188",2014-03-28,"31",NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",2014-03-28,"32",NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",2014-03-28,"33",NA,NA,NA,NA,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",2014-03-29,"1",8,0.2,1,0.0797768841759437,4,1,1978.769,2807.345,2115.577,0,0,0,169.594,472.888,52.435,66.477,600.637,0
"192",2014-03-29,"2",7.25,-0.75,0.25,0.409855394946435,5,0,17506.488,2141.489,1196.196,0,0,0,55.716,523.854,501.644,0,0,0
"193",2014-03-29,"3",8.6,-0.2,1.6,0.163377337758651,0,1,19.31,152.928,2529.228,49.371,0,0,104.425,0,0,0,0,0
"194",2014-03-29,"5",6.4,-0.4,1,0.116198544169371,3,1,460.392,1621.642,337.393,0,0,0,91.391,0,0,32.533,47.14,0
"195",2014-03-29,"6",7.8,0,1,0.135018382352941,0,0,32.411,1839.665,782.833,0,0,0,101.467,1257.523,0,0,0,0
"196",2014-03-29,"7",7,0.2,1,0.0418758535518426,0,5,1742.942,1942.943,5360.103,0,0,0,378.55,1480.095,307.752,0,0,0
"197",2014-03-29,"8",7.16666666666667,-0.166666666666667,1,0.024944120627437,0,2,46.795,536.168,64.889,0,0,0,61.195,445.501,0,0,0,0
"198",2014-03-29,"9",8,-0.4,1,0.0951388888888889,5,0,454.912,3478.223,3153.381,0,0,0,63.889,39.221,157.702,0,3.242,0
