"","ID","date","beepo","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"89","1",2014-04-07,4,6,0,0,0.0335054080629302,1596.44899988174,0,0,77.952,1258.772,0,0,0,0,8.164,586.469,0,0,0,0
"90","1",2014-04-07,5,7,-1,0,0.0929121467506312,1212.65399980545,0,0,8.035,908.649,52.312,0,0,0,11.095,125.759,0,0,0,0
"91","1",2014-04-08,1,7,0,1,0.0499164391238169,6553.31100010872,1,0,390.211,3513.641,2462.784,0,0,0,0,278.977,0,0,0,0
"92","1",2014-04-08,2,7,0,1,0.158954127911999,2616.19900012016,0,0,150.184,624.965,505.4,0,0,0,12.198,1292.491,0,0,14.071,0
"93","1",2014-04-08,3,7,0,NA,0.0416666666666667,3109.2210009098,0,0,182.312,2150.576,26.108,0,0,0,14.103,454.858,0,0,0,0
"94","1",2014-04-08,4,7,-1,NA,0.14364406779661,367.095000505447,0,0,36.476,2321.108,0,0,0,0,0,33.207,0,0,0,0
"95","1",2014-04-08,5,5,-1,-1,0.0475747361091329,1628.49100065231,0,0,95.851,778.919,210.957,19.131,0,0,24.111,364.968,0,0,22.072,0
"96","1",2014-04-09,1,7,-1,NA,0.0609799679812467,9646.81599879265,0,0,1099.033,4984.44,1826.46,0,0,0,8.017,500.677,0,0,705.501,0
"97","1",2014-04-09,2,8,0,1,0.177910735444275,3303.46899962425,0,0,195.169,1150.58,322.138,0,0,0,275.745,709.718,0,0,0,0
"98","1",2014-04-09,3,8,-1,1,0.298249299719888,749.276000499725,0,0,26.666,749.152,0,0,0,0,7.137,49.683,0,0,19.348,0
"99","1",2014-04-09,4,7,-1,1,0.297572362278245,2493.08400011063,0,0,136.176,914.123,121.589,0,0,0,6.027,1315.773,0,0,0,0
"100","1",2014-04-09,5,7,-1,1,0.0501633986928105,1176.35700082779,4,0,184.635,736.63,0,0,0,0,49.728,223.401,0,0,0,0
"101","1",2014-04-10,1,8,-1,1,0.00706214689265537,453.52999997139,0,0,99.864,248.663,52.221,0,0,0,9.22,43.459,0,0,0,0
"102","1",2014-04-10,2,6.5,-1,0.5,0.061484593837535,1205.64900016785,0,0,80.36,468.488,172.359,0,0,23.195,78.541,382.034,0,0,0,0
"103","1",2014-04-10,3,8,1,1,0.295752984389348,2302.92800021172,0,0,146.171,1180.156,0,0,1.059,0,8.025,643.35,0,0,39.35,0
"104","1",2014-04-10,4,NA,NA,NA,0.0467934228604352,424.766000509262,7,0,288.889,225.848,0,0,0,0,6.114,23.075,0,0,11.034,0
"105","1",2014-04-10,5,8,0,1,0.0946825010996135,933.389999389649,0,0,60.656,298.809,304.896,0,0,0,6.019,82.799,0,0,179.813,0
"106","1",2014-04-11,1,6.5,-1,0.5,0.00208333333333334,1045.8659992218,0,0,889.901,15.345,1541.889,0,0,0,9.069,0,0,0,0,0
"107","1",2014-04-11,2,7,-1,1,0.151470874732125,1201.78900051117,0,0,1984.724,563.021,108.844,0,0,0,8.097,44.138,0,0,6.017,0
"108","1",2014-04-11,3,7,-2,1,0.10603444470265,1042.40899991989,0,0,190.91,796.933,0,0,0,0,8.088,0,0,0,46.281,0
"109","1",2014-04-11,4,8,-1,1,0.316351226096353,2763.68799996376,0,0,228.811,970.408,227.17,0,0,0,16.07,394.869,34.234,0,114.964,0
"110","1",2014-04-11,5,NA,NA,NA,0.0576997377200217,4473.57300043106,0,0,75.163,990.885,98.235,94.093,0,0,10.128,157.8,0,0,47.386,0
"111","1",2014-04-12,1,7,-2,1,0.0362336601307189,2338.79800009727,0,0,69.319,843.881,1133.496,0,0,0,37.773,31.122,5.031,0,171.745,0
"112","1",2014-04-12,2,6,-1,0,0.0666666666666667,6992.46499991417,0,0,35.527,4867.231,0,0,0,0,8.037,88.751,0,0,71.424,0
"113","1",2014-04-12,3,NA,NA,NA,0.0305555555555556,1679.13400030136,0,0,49.748,564.454,953.639,0,0,0,35.6,60.878,0,0,17.337,0
"114","1",2014-04-12,4,8,-1,1,0.211111111111111,469.359000444413,0,0,128.324,97.187,99.347,0,0,0,6.23,83.681,0,0,54.415,0
"115","1",2014-04-12,5,8,1,1,0.124724517906336,260.120000123978,0,0,0,222.33,0,0,0,0,0,0,0,0,37.471,0
"116","1",2014-04-13,1,8,-1,1,0.01046918767507,1090.27799987793,0,0,196.759,631.747,214.196,0,0,0,26.108,21.273,0,0,0,0
"117","1",2014-04-13,2,8,-1.5,1,0.0450101878543824,462.470999717713,0,0,38.278,347.768,35.196,0,0,0,41.114,0,0,0,0,0
"118","1",2014-04-13,3,NA,NA,NA,0.00555555555555557,227.004999876023,0,0,100.929,48.18,0,67.368,0,0,10.15,0,0,0,0,0
"119","1",2014-04-13,4,8,-1,1,0.00847457627118643,144.22000002861,0,0,81.87,40.664,0,0,0,0,8.23,13.229,0,0,0,0
"120","1",2014-04-13,5,NA,NA,NA,0.0112535612535613,92.6840000152588,0,0,49.058,28.436,0,15.045,0,0,0,0,0,0,0,0
"121","1",2014-04-14,1,6,-2,0,0.017188025139477,8157.00199961662,0,1,331.945,2189.11,3500.425,0,0,0,9.05,798.684,0,0,534.831,0
"122","1",2014-04-14,2,8,-2,1,0.126643877890139,4436.51399946213,0,0,86.882,851.747,1553.394,0,0,0,11.04,1708.753,0,0,224.463,0
"123","1",2014-04-14,3,7,0,0,0.248278474104721,4250.28299927712,0,0,376.227,2575.598,640.116,24.073,0,0,116.927,271.424,29.104,0,57.094,0
"124","1",2014-04-14,4,7,-1,1,0.0499089253187614,566.003999948502,1,0,69.348,437.705,0,0,0,0,0,61.57,0,0,0,0
"125","1",2014-04-14,5,8,-1,1,0.194756517197889,617.822000741958,0,0,144.736,432.124,571.621,65.25,0,0,8.079,81.554,0,0,169.626,0
"126","1",2014-04-15,1,7,0,1,0.0454131652661064,7248.29399943352,0,1,556.881,3022.351,193.661,0,0,0,21.112,3426.426,0,0,77.434,0
"127","1",2014-04-15,2,NA,NA,NA,0.133333333333333,1141.74199819565,0,0,90.682,786.469,118.674,13.043,0,0,0,0,0,0,131.578,0
"128","1",2014-04-15,3,7,0,1,0.14406779661017,617.564999818802,8,0,278.109,312.619,0,0,0,0,7.153,19.272,0,0,0,0
"129","1",2014-04-15,4,NA,NA,NA,0.151930857813211,2005.27800059319,0,0,379.816,952.248,281.551,0,0,0,14.057,69.354,8.363,0,94.889,0
"130","1",2014-04-15,5,5.5,0,0.5,0.0982267496698735,2998.22500038147,0,0,283.831,1150.544,350.636,0,0,0,68.093,1247.342,0,0,0,0
"131","1",2014-04-16,1,7,0,NA,0.0640793513924123,5861.13400053978,0,0,498.223,2627.894,53.845,0,0,0,12.21,997.545,0,0,105.225,0
